,CountryOfExploitation,citizenship,majorityStatus,gender,yearOfRegistration,isForcedLabour,isSexualExploit,isOtherExploit,Cases,"Adolescent fertility rate (births per 1,000 women ages 15-19)_expl_country","Age at first marriage, female_expl_country","Age at first marriage, male_expl_country","Mortality rate, under-5, male (per 1,000)_expl_country","Mortality rate, under-5, female (per 1,000)_expl_country","Mortality rate, under-5 (per 1,000)_expl_country","Mortality rate, neonatal (per 1,000 live births)_expl_country","Mortality rate, adult, male (per 1,000 male adults)_expl_country","Mortality rate, adult, female (per 1,000 female adults)_expl_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_expl_country,"Unemployment, female (% of female labor force)_expl_country","Unemployment, male (% of male labor force)_expl_country","Unemployment, total (% of total labor force)_expl_country","Adolescent fertility rate (births per 1,000 women ages 15-19)_cit_country","Age at first marriage, female_cit_country","Age at first marriage, male_cit_country","Mortality rate, under-5, male (per 1,000)_cit_country","Mortality rate, under-5, female (per 1,000)_cit_country","Mortality rate, under-5 (per 1,000)_cit_country","Mortality rate, neonatal (per 1,000 live births)_cit_country","Mortality rate, adult, male (per 1,000 male adults)_cit_country","Mortality rate, adult, female (per 1,000 female adults)_cit_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_cit_country,"Unemployment, female (% of female labor force)_cit_country","Unemployment, male (% of male labor force)_cit_country","Unemployment, total (% of total labor force)_cit_country"
58,IT,RO,Adult,Female,2005,0.0,12.0,0.0,12,7.0302,..,..,4.8,4.1,4.5,2.7,84.326,44.227,..,10.0550003051758,6.17500019073486,7.73099994659424,39.1668,25.7,29,20.2,16.1,18.2,8.5,226.972,97.598,..,6.42700004577637,7.7810001373291,7.17399978637695
59,IT,RO,Adult,Female,2008,0.0,12.0,0.0,12,6.778,28.5,32,4.5,3.8,4.1,2.5,78.486,41.68,..,8.49699974060059,5.49599981307983,6.72300004959106,40.6178,26,29.2,15.4,12.3,13.9,6.2,213.209,90.514,..,4.67000007629395,6.67999982833862,5.78700017929077
60,JO,ID,Adult,Female,2014,23.0,0.0,0.0,23,27.2012,..,..,19.7,16.5,18.1,10.7,128.498,93.616,..,20.6100006103516,10.0559997558594,11.8999996185303,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
61,JO,LK,Adult,Female,2012,32.0,0.0,0.0,32,28.084,25,29.8,20.8,17.4,19.1,11.3,130.676,95.895,4.5,20.0349998474121,10.4709997177124,12.1999998092651,21.847,23.4,27.2,11.6,9.6,10.6,6,167.357,63.62,..,6.17799997329712,2.7960000038147,3.88000011444092
62,JO,LK,Adult,Female,2013,53.0,0.0,0.0,53,27.6426,..,..,20.2,16.9,18.6,11,129.587,94.755,..,22.1690006256104,10.585000038147,12.6000003814697,21.6628,..,..,10.9,9,10,5.8,164.511,62.26,..,6.49200010299683,3.09500002861023,4.24100017547607
63,JP,PH,unknown,Female,2016,11.0,0.0,100.0,111,3.9198,..,..,2.8,2.5,2.7,0.9,68.456,36.953,..,2.81399989128113,3.31699991226196,3.09999990463257,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
64,KH,KH,Adult,Female,2018,0.0,71.0,0.0,88,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358
65,KH,KH,Adult,Male,2018,0.0,72.0,0.0,72,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358
66,KH,KH,Minor,Female,2018,0.0,143.0,0.0,143,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358
67,KH,KH,Minor,Male,2018,0.0,166.0,0.0,166,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358
68,KH,KH,unknown,Female,2018,0.0,177.0,0.0,177,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358
69,KH,KH,unknown,Male,2018,0.0,237.0,0.0,237,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358
70,KH,VN,Adult,Female,2017,0.0,15.0,0.0,15,50.177,..,..,32,25.4,28.8,15.7,202.166,134.547,..,0.813000023365021,0.560000002384186,0.683000028133392,30.929,..,..,24.3,17.2,20.8,11,178.38,64.966,..,1.88199996948242,2.21000003814697,2.05299997329712
71,KH,VN,unknown,Female,2018,0.0,31.0,0.0,31,50.7204,..,..,30.7,24.4,27.6,15.1,199.971,132.376,..,0.779999971389771,0.532000005245209,0.65200001001358,29.1518,..,..,23.8,16.9,20.4,10.7,188.583,76.363,..,1.8309999704361,2.14199995994568,1.99300003051758
72,KH,unknown,Minor,Female,2017,0.0,0.0,57.0,57,50.177,..,..,32,25.4,28.8,15.7,202.166,134.547,..,0.813000023365021,0.560000002384186,0.683000028133392,,,,,,,,,,,,,
