,CountryOfExploitation,citizenship,majorityStatus,gender,yearOfRegistration,isForcedLabour,isSexualExploit,isOtherExploit,Cases,"Adolescent fertility rate (births per 1,000 women ages 15-19)_expl_country","Age at first marriage, female_expl_country","Age at first marriage, male_expl_country","Mortality rate, under-5, male (per 1,000)_expl_country","Mortality rate, under-5, female (per 1,000)_expl_country","Mortality rate, under-5 (per 1,000)_expl_country","Mortality rate, neonatal (per 1,000 live births)_expl_country","Mortality rate, adult, male (per 1,000 male adults)_expl_country","Mortality rate, adult, female (per 1,000 female adults)_expl_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_expl_country,"Unemployment, female (% of female labor force)_expl_country","Unemployment, male (% of male labor force)_expl_country","Unemployment, total (% of total labor force)_expl_country","Adolescent fertility rate (births per 1,000 women ages 15-19)_cit_country","Age at first marriage, female_cit_country","Age at first marriage, male_cit_country","Mortality rate, under-5, male (per 1,000)_cit_country","Mortality rate, under-5, female (per 1,000)_cit_country","Mortality rate, under-5 (per 1,000)_cit_country","Mortality rate, neonatal (per 1,000 live births)_cit_country","Mortality rate, adult, male (per 1,000 male adults)_cit_country","Mortality rate, adult, female (per 1,000 female adults)_cit_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_cit_country,"Unemployment, female (% of female labor force)_cit_country","Unemployment, male (% of male labor force)_cit_country","Unemployment, total (% of total labor force)_cit_country"
112,MD,MD,Minor,Female,2014,0.0,0.0,0.0,126,24.4262,25,28.7,17.7,14.1,15.9,11.8,246.042,99.914,..,3.05999994277954,4.61299991607666,3.85599994659424,24.4262,25,28.7,17.7,14.1,15.9,11.8,246.042,99.914,..,3.05999994277954,4.61299991607666,3.85599994659424
113,MD,MD,Minor,Female,2015,0.0,0.0,0.0,188,23.7558,..,..,17.3,13.8,15.6,11.6,243.767,98.788,..,2.92000007629395,4.44500017166138,3.69400000572205,23.7558,..,..,17.3,13.8,15.6,11.6,243.767,98.788,..,2.92000007629395,4.44500017166138,3.69400000572205
114,MD,MD,Minor,Female,2016,0.0,0.0,0.0,179,23.0854,..,..,16.9,13.5,15.3,11.4,241.492,97.662,..,2.88000011444092,5.44799995422363,4.18499994277954,23.0854,..,..,16.9,13.5,15.3,11.4,241.492,97.662,..,2.88000011444092,5.44799995422363,4.18499994277954
115,MD,MD,Minor,Female,2017,0.0,0.0,0.0,167,22.415,..,..,16.6,13.3,15,11.1,239.217,96.537,..,3.33899998664856,4.82299995422363,4.09800004959106,22.415,..,..,16.6,13.3,15,11.1,239.217,96.537,..,3.33899998664856,4.82299995422363,4.09800004959106
116,MD,MD,Minor,Female,2018,0.0,0.0,0.0,31,22.1802,..,..,16.3,13,14.7,10.9,237.424,95.579,..,2.47199988365173,3.47900009155273,2.9779999256134,22.1802,..,..,16.3,13,14.7,10.9,237.424,95.579,..,2.47199988365173,3.47900009155273,2.9779999256134
117,MD,MD,Minor,Male,2006,0.0,0.0,0.0,21,27.9222,..,..,20.8,16.6,18.7,13.3,309.62,149.985,..,5.79699993133545,8.96700000762939,7.38000011444092,27.9222,..,..,20.8,16.6,18.7,13.3,309.62,149.985,..,5.79699993133545,8.96700000762939,7.38000011444092
118,MD,MD,Minor,Male,2007,0.0,0.0,0.0,40,27.164,..,..,20.1,16,18.1,13.1,307.5,148.953,..,3.87700009346008,6.24100017547607,5.07000017166138,27.164,..,..,20.1,16,18.1,13.1,307.5,148.953,..,3.87700009346008,6.24100017547607,5.07000017166138
119,MD,MD,Minor,Male,2008,0.0,0.0,0.0,48,26.8846,..,..,19.6,15.6,17.7,12.9,296.118,139.596,..,3.36899995803833,4.56599998474121,3.98000001907349,26.8846,..,..,19.6,15.6,17.7,12.9,296.118,139.596,..,3.36899995803833,4.56599998474121,3.98000001907349
120,MD,MD,Minor,Male,2009,0.0,0.0,0.0,61,26.6052,..,..,19.3,15.3,17.3,12.8,284.737,130.238,..,4.88500022888184,7.82200002670288,6.40000009536743,26.6052,..,..,19.3,15.3,17.3,12.8,284.737,130.238,..,4.88500022888184,7.82200002670288,6.40000009536743
121,MD,MD,Minor,Male,2013,0.0,0.0,0.0,185,25.0966,..,..,18,14.3,16.2,12,248.316,101.039,..,4.1399998664856,6.02299976348877,5.10400009155273,25.0966,..,..,18,14.3,16.2,12,248.316,101.039,..,4.1399998664856,6.02299976348877,5.10400009155273
122,MD,MD,Minor,Male,2014,0.0,0.0,0.0,97,24.4262,25,28.7,17.7,14.1,15.9,11.8,246.042,99.914,..,3.05999994277954,4.61299991607666,3.85599994659424,24.4262,25,28.7,17.7,14.1,15.9,11.8,246.042,99.914,..,3.05999994277954,4.61299991607666,3.85599994659424
123,MD,MD,Minor,Male,2015,0.0,0.0,0.0,164,23.7558,..,..,17.3,13.8,15.6,11.6,243.767,98.788,..,2.92000007629395,4.44500017166138,3.69400000572205,23.7558,..,..,17.3,13.8,15.6,11.6,243.767,98.788,..,2.92000007629395,4.44500017166138,3.69400000572205
124,MD,MD,Minor,Male,2016,0.0,0.0,0.0,128,23.0854,..,..,16.9,13.5,15.3,11.4,241.492,97.662,..,2.88000011444092,5.44799995422363,4.18499994277954,23.0854,..,..,16.9,13.5,15.3,11.4,241.492,97.662,..,2.88000011444092,5.44799995422363,4.18499994277954
125,MD,MD,Minor,Male,2017,0.0,0.0,0.0,94,22.415,..,..,16.6,13.3,15,11.1,239.217,96.537,..,3.33899998664856,4.82299995422363,4.09800004959106,22.415,..,..,16.6,13.3,15,11.1,239.217,96.537,..,3.33899998664856,4.82299995422363,4.09800004959106
126,MD,MD,Minor,Male,2018,0.0,0.0,0.0,21,22.1802,..,..,16.3,13,14.7,10.9,237.424,95.579,..,2.47199988365173,3.47900009155273,2.9779999256134,22.1802,..,..,16.3,13,14.7,10.9,237.424,95.579,..,2.47199988365173,3.47900009155273,2.9779999256134
127,MG,MG,Adult,Female,2018,0.0,0.0,0.0,94,107.7374,..,..,56.9,47.6,52.3,20.5,232.545,181.739,..,1.72099995613098,1.65900003910065,1.68900001049042,107.7374,..,..,56.9,47.6,52.3,20.5,232.545,181.739,..,1.72099995613098,1.65900003910065,1.68900001049042
128,MK,RO,Adult,Female,2002,0.0,96.0,0.0,96,23.721,..,..,15.6,13.4,14.5,8.4,158.996,80.92,..,32.3040008544922,31.7049999237061,31.9400005340576,35.469,25.2,28.6,22.4,18,20.2,9.7,238.717,104.987,..,7.59100008010864,8.54599952697754,8.10999965667725
129,MK,RO,Adult,Female,2003,0.0,19.0,0.0,19,23.1162,..,..,15.3,13.1,14.2,8.5,156.519,80.593,..,36.2799987792969,36.9599990844727,36.689998626709,36.7016,25.5,28.9,22,17.7,19.9,9.5,234.802,102.524,..,6.375,7.42399978637695,6.94999980926514
130,MK,RO,Minor,Female,2002,0.0,25.0,0.0,25,23.721,..,..,15.6,13.4,14.5,8.4,158.996,80.92,..,32.3040008544922,31.7049999237061,31.9400005340576,35.469,25.2,28.6,22.4,18,20.2,9.7,238.717,104.987,..,7.59100008010864,8.54599952697754,8.10999965667725
131,MK,UA,Adult,Female,2002,0.0,54.0,0.0,54,23.721,..,..,15.6,13.4,14.5,8.4,158.996,80.92,..,32.3040008544922,31.7049999237061,31.9400005340576,29.279,..,..,18.5,14.8,16.7,10.1,382.749,140.47,..,9.76399993896484,10.4899997711182,10.1359996795654
132,MU,KH,Adult,Male,2016,0.0,0.0,0.0,20,26.2642,..,..,15.9,13.1,14.5,9.1,191.798,94.903,..,10.4219999313354,4.52500009536743,6.81400012969971,49.9048,..,..,33.5,26.5,30.1,16.3,205.317,138.694,..,0.851000010967255,0.58899998664856,0.716000020503998
133,MY,ID,Adult,Female,2005,11.0,0.0,11.0,11,12.8512,..,..,9,7.4,8.2,4,168.207,91.102,..,3.70499992370605,3.43499994277954,3.52999997138977,51.711,23.4,27,45.5,37.7,41.7,19.8,217.647,162.12,..,10.0530004501343,6.77299976348877,7.94500017166138
134,MY,ID,Adult,Female,2006,223.0,0.0,0.0,340,12.7986,..,..,8.9,7.3,8.1,4,168.732,90.02,..,3.39100003242493,3.28200006484985,3.3199999332428,51.608,..,..,43.6,36.1,40,19.3,217.883,160.414,..,9.28999996185303,6.58799982070923,7.55100011825562
135,MY,ID,Adult,Female,2007,0.0,0.0,0.0,93,12.746,..,..,8.9,7.3,8.1,4,169.258,88.938,..,3.4449999332428,3.11400008201599,3.23000001907349,51.505,22.3,26.9,41.9,34.6,38.3,18.9,218.119,158.709,8.5,9.91100025177002,6.95300006866455,8.0600004196167
136,MY,ID,Adult,Female,2014,36.0,0.0,0.0,36,13.255,..,..,8.7,7.3,8,4.1,159.946,86.445,..,3.22199988365173,2.67199993133545,2.88000011444092,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
137,MY,ID,Adult,Male,2014,30.0,0.0,0.0,30,13.255,..,..,8.7,7.3,8,4.1,159.946,86.445,..,3.22199988365173,2.67199993133545,2.88000011444092,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
138,MY,ID,Minor,Female,2006,14.0,0.0,0.0,30,12.7986,..,..,8.9,7.3,8.1,4,168.732,90.02,..,3.39100003242493,3.28200006484985,3.3199999332428,51.608,..,..,43.6,36.1,40,19.3,217.883,160.414,..,9.28999996185303,6.58799982070923,7.55100011825562
139,MY,ID,Minor,Female,2007,0.0,0.0,0.0,13,12.746,..,..,8.9,7.3,8.1,4,169.258,88.938,..,3.4449999332428,3.11400008201599,3.23000001907349,51.505,22.3,26.9,41.9,34.6,38.3,18.9,218.119,158.709,8.5,9.91100025177002,6.95300006866455,8.0600004196167
140,MY,KH,Adult,Female,2017,16.0,0.0,0.0,64,13.414,..,..,8.9,7.6,8.3,4.4,154.826,82.732,..,3.92700004577637,3.08999991416931,3.41000008583069,50.177,..,..,32,25.4,28.8,15.7,202.166,134.547,..,0.813000023365021,0.560000002384186,0.683000028133392
141,MY,KH,Adult,Male,2016,0.0,0.0,0.0,23,13.361,..,..,8.8,7.5,8.2,4.3,156.532,83.97,..,3.92899990081787,3.13700008392334,3.44000005722046,49.9048,..,..,33.5,26.5,30.1,16.3,205.317,138.694,..,0.851000010967255,0.58899998664856,0.716000020503998
142,MY,KH,Adult,Male,2017,0.0,0.0,0.0,33,13.414,..,..,8.9,7.6,8.3,4.4,154.826,82.732,..,3.92700004577637,3.08999991416931,3.41000008583069,50.177,..,..,32,25.4,28.8,15.7,202.166,134.547,..,0.813000023365021,0.560000002384186,0.683000028133392
143,MY,PH,unknown,Female,2016,0.0,28.0,39.0,67,13.361,..,..,8.8,7.5,8.2,4.3,156.532,83.97,..,3.92899990081787,3.13700008392334,3.44000005722046,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
144,MY,PH,unknown,Male,2016,49.0,0.0,33.0,82,13.361,..,..,8.8,7.5,8.2,4.3,156.532,83.97,..,3.92899990081787,3.13700008392334,3.44000005722046,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
145,MY,VN,Adult,Female,2017,0.0,97.0,0.0,97,13.414,..,..,8.9,7.6,8.3,4.4,154.826,82.732,..,3.92700004577637,3.08999991416931,3.41000008583069,30.929,..,..,24.3,17.2,20.8,11,178.38,64.966,..,1.88199996948242,2.21000003814697,2.05299997329712
146,MY,VN,unknown,Female,2017,0.0,11.0,0.0,11,13.414,..,..,8.9,7.6,8.3,4.4,154.826,82.732,..,3.92700004577637,3.08999991416931,3.41000008583069,30.929,..,..,24.3,17.2,20.8,11,178.38,64.966,..,1.88199996948242,2.21000003814697,2.05299997329712
147,OM,ID,Adult,Female,2014,94.0,0.0,0.0,94,14.2182,..,..,12.3,10.1,11.2,5.2,111.733,70.132,..,12.96399974823,2.48000001907349,3.8970000743866,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
148,PH,PH,Adult,Male,2016,13.0,0.0,0.0,13,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
149,PH,PH,unknown,Female,2016,586.0,120.0,611.0,1369,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
150,PH,PH,unknown,Male,2016,191.0,0.0,369.0,606,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
151,PL,BY,Adult,Female,2006,0.0,12.0,0.0,12,15.8508,..,..,8,6.6,7.3,4.4,205.685,79.208,..,14.923999786377,12.9549999237061,13.8409996032715,22.7102,..,..,8.8,6.8,7.8,3,355.849,122.46,..,6.15399980545044,9.1899995803833,7.68900012969971
152,PL,UA,Adult,Female,2006,41.0,68.0,0.0,109,15.8508,..,..,8,6.6,7.3,4.4,205.685,79.208,..,14.923999786377,12.9549999237061,13.8409996032715,30.1846,..,..,15.4,12.4,13.9,8.4,384.568,142.426,..,6.60200023651123,7.00299978256226,6.80999994277954
153,PL,UA,Adult,Female,2007,0.0,86.0,0.0,86,15.941,..,..,7.7,6.4,7,4.2,205.691,78.935,..,10.3430004119873,8.99899959564209,9.60200023651123,30.411,23.1,25.9,14.8,11.9,13.4,8,396.138,146.547,4.2,5.99499988555908,6.67899990081787,6.35099983215332
154,PL,UA,Adult,Female,2010,37.0,0.0,0.0,37,14.9762,..,..,6.5,5.4,6,3.6,187.605,71.02,..,10.0209999084473,9.32299995422363,9.63700008392334,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973
155,PL,UA,Adult,Female,2011,15.0,0.0,0.0,15,14.6546,26.6,28.7,6.2,5.1,5.7,3.4,183.327,69.818,..,10.3970003128052,9.00699996948242,9.63199996948242,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332
156,PL,UA,Adult,Female,2015,12.0,0.0,0.0,12,12.056,..,..,5.3,4.4,4.8,2.9,163.904,63.434,..,7.71000003814697,7.33099985122681,7.50099992752075,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275
157,PL,UA,Adult,Female,2016,40.0,0.0,0.0,40,11.297,..,..,5.1,4.3,4.7,2.8,160.653,61.842,..,6.22599983215332,6.10799980163574,6.16099977493286,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973
158,PL,UA,Adult,Male,2006,15.0,0.0,0.0,15,15.8508,..,..,8,6.6,7.3,4.4,205.685,79.208,..,14.923999786377,12.9549999237061,13.8409996032715,30.1846,..,..,15.4,12.4,13.9,8.4,384.568,142.426,..,6.60200023651123,7.00299978256226,6.80999994277954
159,QA,ID,Adult,Female,2014,152.0,0.0,0.0,152,10.7296,..,..,8.8,7.5,8.1,4.1,66.66,47.492,..,1.04999995231628,0.0710000023245811,0.200000002980232,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
160,QA,PH,unknown,Female,2016,42.0,0.0,33.0,75,10.1912,..,..,8,6.9,7.5,3.8,64.592,46.334,..,0.717000007629395,0.0610000006854534,0.150000005960464,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
161,QA,PH,unknown,Male,2016,0.0,0.0,12.0,12,10.1912,..,..,8,6.9,7.5,3.8,64.592,46.334,..,0.717000007629395,0.0610000006854534,0.150000005960464,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
162,RO,RO,Adult,Female,2005,38.0,100.0,0.0,113,39.1668,25.7,29,20.2,16.1,18.2,8.5,226.972,97.598,..,6.42700004577637,7.7810001373291,7.17399978637695,39.1668,25.7,29,20.2,16.1,18.2,8.5,226.972,97.598,..,6.42700004577637,7.7810001373291,7.17399978637695
163,RO,RO,Adult,Female,2006,0.0,0.0,0.0,95,40.3994,25.9,29.2,18.5,14.9,16.7,7.8,223.057,95.134,..,6.10900020599365,8.21599960327148,7.26900005340576,40.3994,25.9,29.2,18.5,14.9,16.7,7.8,223.057,95.134,..,6.10900020599365,8.21599960327148,7.26900005340576
164,RO,RO,Adult,Female,2007,0.0,0.0,0.0,37,41.632,26.1,29.3,16.8,13.5,15.2,6.9,219.142,92.671,..,5.40799999237061,7.22800016403198,6.41300010681152,41.632,26.1,29.3,16.8,13.5,15.2,6.9,219.142,92.671,..,5.40799999237061,7.22800016403198,6.41300010681152
165,RO,RO,Minor,Female,2006,0.0,0.0,0.0,14,40.3994,25.9,29.2,18.5,14.9,16.7,7.8,223.057,95.134,..,6.10900020599365,8.21599960327148,7.26900005340576,40.3994,25.9,29.2,18.5,14.9,16.7,7.8,223.057,95.134,..,6.10900020599365,8.21599960327148,7.26900005340576
166,RS,MD,Adult,Female,2002,0.0,159.0,0.0,159,25.592,25.9,29.8,12.7,10.1,11.5,7,199.279,101.307,..,15.7320003509521,12.3459997177124,13.8000001907349,30.955,..,..,28.3,22.6,25.5,17.3,318.099,154.111,..,5.55499982833862,8.1230001449585,6.80000019073486
167,RS,RO,Adult,Female,2002,0.0,49.0,0.0,49,25.592,25.9,29.8,12.7,10.1,11.5,7,199.279,101.307,..,15.7320003509521,12.3459997177124,13.8000001907349,35.469,25.2,28.6,22.4,18,20.2,9.7,238.717,104.987,..,7.59100008010864,8.54599952697754,8.10999965667725
168,RS,RO,Minor,Female,2002,0.0,13.0,0.0,13,25.592,25.9,29.8,12.7,10.1,11.5,7,199.279,101.307,..,15.7320003509521,12.3459997177124,13.8000001907349,35.469,25.2,28.6,22.4,18,20.2,9.7,238.717,104.987,..,7.59100008010864,8.54599952697754,8.10999965667725
169,RS,UA,Adult,Female,2002,0.0,27.0,0.0,27,25.592,25.9,29.8,12.7,10.1,11.5,7,199.279,101.307,..,15.7320003509521,12.3459997177124,13.8000001907349,29.279,..,..,18.5,14.8,16.7,10.1,382.749,140.47,..,9.76399993896484,10.4899997711182,10.1359996795654
170,RU,BY,Adult,Female,2004,0.0,21.0,0.0,21,28.425,..,..,16.8,12.9,14.9,6.8,463.583,172.351,..,7.51700019836426,8,7.76300001144409,23.5006,..,..,10.5,7.9,9.2,4,362.612,128.963,..,7.5479998588562,10.7749996185303,9.18599987030029
171,RU,BY,Adult,Female,2005,25.0,86.0,0.0,86,28.831,..,..,15.5,11.9,13.8,6.4,464.707,172.552,..,6.93400001525879,7.30700016021729,7.12400007247925,23.1054,22.7,..,9.6,7.3,8.5,3.5,369.192,127.967,..,6.83400011062622,10.0430002212524,8.46000003814697
172,RU,BY,Adult,Female,2006,43.0,41.0,0.0,72,29.237,..,..,14.3,11.1,12.8,5.9,427.15,157.269,..,6.68599987030029,7.41400003433228,7.05499982833862,22.7102,..,..,8.8,6.8,7.8,3,355.849,122.46,..,6.15399980545044,9.1899995803833,7.68900012969971
173,RU,BY,Adult,Female,2007,0.0,11.0,0.0,11,29.643,..,..,13.3,10.4,11.9,5.4,400.361,147.303,..,5.64200019836426,6.35200023651123,6.0019998550415,22.315,..,..,8.1,6.2,7.2,2.5,332.936,115.608,..,5.49700021743774,8.4379997253418,6.98199987411499
174,RU,BY,Adult,Female,2008,0.0,11.0,0.0,11,28.9984,..,..,12.5,9.8,11.2,5,394.27,145.778,..,5.94299983978271,6.45499992370605,6.20499992370605,22.1266,..,..,7.4,5.7,6.6,2.2,334.107,111.707,..,4.99300003051758,7.7649998664856,6.39099979400635
175,RU,BY,Adult,Female,2010,0.0,14.0,0.0,14,27.7092,24.4,27,11.5,9.1,10.4,4.4,365.448,136.446,..,6.83500003814697,7.8769998550415,7.36899995803833,21.7498,..,..,6.2,4.8,5.5,1.8,334.194,112.143,..,4.74100017547607,7.49100017547607,6.12599992752075
176,RU,BY,Adult,Male,2005,94.0,0.0,0.0,94,28.831,..,..,15.5,11.9,13.8,6.4,464.707,172.552,..,6.93400001525879,7.30700016021729,7.12400007247925,23.1054,22.7,..,9.6,7.3,8.5,3.5,369.192,127.967,..,6.83400011062622,10.0430002212524,8.46000003814697
177,RU,BY,Adult,Male,2006,149.0,0.0,0.0,149,29.237,..,..,14.3,11.1,12.8,5.9,427.15,157.269,..,6.68599987030029,7.41400003433228,7.05499982833862,22.7102,..,..,8.8,6.8,7.8,3,355.849,122.46,..,6.15399980545044,9.1899995803833,7.68900012969971
178,RU,BY,Adult,Male,2011,25.0,0.0,0.0,25,27.0646,..,..,11.2,8.9,10.1,4.6,346.714,129.735,..,6.08599996566772,6.96400022506714,6.53599977493286,21.5614,..,..,5.7,4.5,5.1,1.8,336.426,114.383,..,4.63399982452393,7.54199981689453,6.09800004959106
179,RU,BY,Adult,Male,2015,84.0,0.0,0.0,84,22.9874,..,..,9.1,7.3,8.2,3.9,..,..,..,5.30900001525879,5.81699991226196,5.57100009918213,17.2534,..,..,4.5,3.5,4,1.6,245.384,82.36,..,4.26200008392334,7.54400014877319,5.91400003433228
180,RU,BY,Adult,Male,2016,114.0,0.0,0.0,114,21.8432,..,..,8.3,6.7,7.5,3.5,..,..,..,5.34800004959106,5.75699996948242,5.55900001525879,15.8802,..,..,4.3,3.3,3.8,1.5,234.903,82.559,..,4.18599987030029,7.47300004959106,5.84000015258789
181,RU,BY,Adult,Male,2017,30.0,0.0,0.0,30,20.699,..,..,7.6,6.2,6.9,3.2,..,..,..,5.05100011825562,5.36399984359741,5.21199989318848,14.507,..,..,4.1,3.2,3.6,1.4,..,..,..,4.03900003433228,7.22800016403198,5.65000009536743
182,RU,BY,Minor,Female,2004,0.0,11.0,0.0,11,28.425,..,..,16.8,12.9,14.9,6.8,463.583,172.351,..,7.51700019836426,8,7.76300001144409,23.5006,..,..,10.5,7.9,9.2,4,362.612,128.963,..,7.5479998588562,10.7749996185303,9.18599987030029
183,RU,BY,Minor,Female,2005,0.0,16.0,0.0,16,28.831,..,..,15.5,11.9,13.8,6.4,464.707,172.552,..,6.93400001525879,7.30700016021729,7.12400007247925,23.1054,22.7,..,9.6,7.3,8.5,3.5,369.192,127.967,..,6.83400011062622,10.0430002212524,8.46000003814697
184,RU,BY,Minor,Male,2005,13.0,0.0,0.0,13,28.831,..,..,15.5,11.9,13.8,6.4,464.707,172.552,..,6.93400001525879,7.30700016021729,7.12400007247925,23.1054,22.7,..,9.6,7.3,8.5,3.5,369.192,127.967,..,6.83400011062622,10.0430002212524,8.46000003814697
185,RU,KG,Adult,Female,2015,17.0,0.0,0.0,17,22.9874,..,..,9.1,7.3,8.2,3.9,..,..,..,5.30900001525879,5.81699991226196,5.57100009918213,37.265,..,..,24.8,19.8,22.3,14.7,229.295,102.292,..,9.02400016784668,6.54300022125244,7.55999994277954
186,RU,KG,Adult,Male,2010,44.0,0.0,0.0,44,27.7092,24.4,27,11.5,9.1,10.4,4.4,365.448,136.446,..,6.83500003814697,7.8769998550415,7.36899995803833,38.3092,..,..,32.7,26.2,29.5,17.2,273.822,123.804,..,9.9399995803833,7.71000003814697,8.64000034332275
187,RU,KG,Adult,Male,2014,60.0,0.0,0.0,60,24.1316,..,..,9.9,7.9,8.9,4.4,321.526,120.336,..,4.82100009918213,5.48000001907349,5.15999984741211,39.516,21.2,..,26,20.8,23.5,15.2,237.716,105.916,..,9.49199962615967,7.0310001373291,8.05000019073486
188,RU,KG,Adult,Male,2015,51.0,0.0,0.0,51,22.9874,..,..,9.1,7.3,8.2,3.9,..,..,..,5.30900001525879,5.81699991226196,5.57100009918213,37.265,..,..,24.8,19.8,22.3,14.7,229.295,102.292,..,9.02400016784668,6.54300022125244,7.55999994277954
189,RU,KG,Adult,Male,2016,20.0,0.0,0.0,20,21.8432,..,..,8.3,6.7,7.5,3.5,..,..,..,5.34800004959106,5.75699996948242,5.55900001525879,35.014,..,..,23.5,18.8,21.2,14.1,220.873,98.667,..,8.73799991607666,6.17899990081787,7.21000003814697
190,RU,NG,Adult,Female,2015,0.0,108.0,0.0,108,22.9874,..,..,9.1,7.3,8.2,3.9,..,..,..,5.30900001525879,5.81699991226196,5.57100009918213,111.218,..,..,133.6,119.7,126.8,37.1,374.769,337.66,31.5,5.10599994659424,3.66000008583069,4.31099987030029
191,RU,UA,Adult,Female,2005,14.0,14.0,0.0,14,28.831,..,..,15.5,11.9,13.8,6.4,464.707,172.552,..,6.93400001525879,7.30700016021729,7.12400007247925,29.9582,23.9,..,16,12.9,14.5,8.7,403.431,150.196,..,6.82200002670288,7.51100015640259,7.17999982833862
192,RU,UA,Adult,Female,2006,0.0,88.0,0.0,88,29.237,..,..,14.3,11.1,12.8,5.9,427.15,157.269,..,6.68599987030029,7.41400003433228,7.05499982833862,30.1846,..,..,15.4,12.4,13.9,8.4,384.568,142.426,..,6.60200023651123,7.00299978256226,6.80999994277954
193,RU,UA,Adult,Female,2007,44.0,46.0,0.0,73,29.643,..,..,13.3,10.4,11.9,5.4,400.361,147.303,..,5.64200019836426,6.35200023651123,6.0019998550415,30.411,23.1,25.9,14.8,11.9,13.4,8,396.138,146.547,4.2,5.99499988555908,6.67899990081787,6.35099983215332
194,RU,UA,Adult,Female,2009,0.0,0.0,0.0,24,28.3538,..,..,11.9,9.4,10.7,4.6,369.933,138.365,..,7.67000007629395,8.9069995880127,8.30099964141846,29.4278,..,..,13.6,11,12.3,7.4,334.021,127.738,..,7.29899978637695,10.2740001678467,8.84000015258789
195,RU,UA,Adult,Female,2010,13.0,11.0,0.0,24,27.7092,24.4,27,11.5,9.1,10.4,4.4,365.448,136.446,..,6.83500003814697,7.8769998550415,7.36899995803833,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973
196,RU,UA,Adult,Female,2011,11.0,0.0,0.0,11,27.0646,..,..,11.2,8.9,10.1,4.6,346.714,129.735,..,6.08599996566772,6.96400022506714,6.53599977493286,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332
197,RU,UA,Adult,Female,2013,53.0,0.0,0.0,53,25.2758,..,..,10.5,8.4,9.5,4.8,321.874,120.12,..,5.13500022888184,5.76300001144409,5.45800018310547,27.1046,..,..,11.2,9.1,10.2,6.1,292.069,111.279,..,6.21600008010864,8.03499984741211,7.17000007629395
198,RU,UA,Adult,Female,2014,16.0,0.0,0.0,27,24.1316,..,..,9.9,7.9,8.9,4.4,321.526,120.336,..,4.82100009918213,5.48000001907349,5.15999984741211,26.2562,..,..,10.8,8.8,9.8,5.9,..,..,..,7.51599979400635,10.8439998626709,9.27000045776367
199,RU,UA,Adult,Female,2015,109.0,0.0,0.0,109,22.9874,..,..,9.1,7.3,8.2,3.9,..,..,..,5.30900001525879,5.81699991226196,5.57100009918213,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275
200,RU,UA,Adult,Female,2016,29.0,0.0,0.0,29,21.8432,..,..,8.3,6.7,7.5,3.5,..,..,..,5.34800004959106,5.75699996948242,5.55900001525879,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973
